From	To
Q13286	CLN3
Q13315	ATM
Q13326	SGCG
Q13351	KLF1
Q13361	MFAP5
Q13402	MYO7A
Q13415	ORC1
Q13423	NNT
Q13424	SNTA1
Q13426	XRCC4
Q13428	TCOF1
Q13432	UNC119
Q13461	FOXE3
Q13485	SMAD4
Q13488	TCIRG1
Q13496	MTM1
Q13501	SQSTM1
Q13507	TRPC3
Q13509	TUBB3
Q13510	ASAH1
Q13515	BFSP2
Q13535	ATR
Q13562	NEUROD1
Q13563	PKD2
Q13586	STIM1
Q13608	PEX6
Q13614	MTMR2
Q13618	CUL3
Q13620	CUL4B
Q13621	SLC12A1
Q13635	PTCH1
Q13642	FHL1
Q13651	IL10RA
Q13698	CACNA1S
Q13702	RAPSN
Q13705	ACVR2B
Q13724	MOGS
Q13751	LAMB3
Q13825	AUH
Q13873	BMPR2
Q13885	TUBB2A
Q13936	CACNA1C
Q13950	RUNX2
Q13976	PRKG1
Q14003	KCNC3
Q14028	CNGB1
Q14031	COL4A6
Q14032	BAAT
Q14050	COL9A3
Q14055	COL9A2
Q14108	SCARB2
Q14117	DPYS
Q14118	DAG1
Q14126	DSG2
Q14160	SCRIB
Q14191	WRN
Q14203	DCTN1
Q14204	DYNC1H1
Q14232	EIF2B1
Q14315	FLNC
Q14353	GAMT
Q14376	GALE
Q14432	PDE3A
Q14520	HABP2
Q14524	SCN5A
Q14533	KRT81
Q14563	SEMA3A
Q14571	ITPR2
Q14623	IHH
Q14626	IL11RA
Q14643	ITPR1
Q14653	IRF3
Q14654	KCNJ11
Q14683	SMC1A
Q14692	BMS1
Q14721	KCNB1
Q14738	PPP2R5D
Q14739	LBR
Q14749	GNMT
Q14767	LTBP2
Q14781	CBX2
Q14790	CASP8
Q14807	KIF22
Q14894	CRYM
Q14896	MYBPC3
Q14938	NFIX
Q14999	CUL7
Q14CZ8	HEPACAM
Q15029	EFTUD2
Q15031	LARS2
Q15046	KARS1
Q15049	MLC1
Q15067	ACOX1
Q15080	NCF4
Q15120	PDK3
Q15125	EBP
Q15147	PLCB4
Q15149	PLEC
Q15303	ERBB4
Q15319	POU4F3
Q15327	ANKRD1
Q15392	DHCR24
Q15436	SEC23A
Q15437	SEC23B
Q15465	SHH
Q15468	STIL
Q15475	SIX1
Q15477	SKIV2L
Q15526	SURF1
Q15582	TGFBI
Q15583	TGIF1
Q15672	TWIST1
Q15726	KISS1
Q15738	NSDHL
Q15746	MYLK
